conference,h5_index,core_rank,era_rank,qualis_rank,deadline,notification,start,end,location,name,topics
IJCAI,105.0,A*,A,A1,7-Jan,,,,,International Joint Conference on Artificial Intelligence,"machine learning 
 search 
 planning 
 knowledge representation 
 reasoning 
 constraint satisfaction 
 natural language processing 
 robotics and perception 
 multiagent systems 
 security, sustainability, health care, transportation, commerce"
STACS,21.0,A,B,A2,1-Oct,,,,,International Symposium on Theoretical Aspects of Computer Science,"Algorithms and data structures 
 design of parallel 
 distributed 
 approximation 
 parameterized and randomized algorithms 
 analysis of algorithms and combinatorics of data structures 
 computational geometry 
 cryptography 
 algorithmic learning theory 
 algorithmic game theory 
 Automata and formal languages 
 algebraic and categorical methods 
 coding theory 
 Complexity and computability 
 computational and structural complexity theory 
 parameterized complexity 
 randomness in computation 
 Logic in computer science 
 finite model theory 
 database theory 
 semantics 
 specification verification 
 rewriting and deduction 
 natural computing 
 quantum computing 
 mobile and net computing 
 computational social choice"
TAMC,9.0,B,B,,24-Apr,,,,, Conference on Theory and Applications of Models of Computation,"AI Modeling 
 Algebraic Computation 
 Algorithmic Coding and Number Theory 
 Algorithmic Graph Theory and Combinatorics 
 Algorithms and Data Structures 
 Approximation Algorithms 
 Computational Biology and Biological Computing 
 Computational Complexity 
 Computational Game Theory 
 Computational Information 
 Computing Intelligence 
 Computer Science Logic 
 Deep Learning Theory 
 Domain Models 
 Dynamical Algorithms 
 Foundations of Artificial Intelligence 
 Game Theory 
 Information Decoding 
 Information Generating 
 Information System 
 Information Processing 
 Machine Learning 
 Machine Intelligence 
 Network Theory and Communication Networks 
 Neural Network 
 Online Algorithms 
 Parameterized Algorithms 
 Programming and Verification 
 Property Testing 
 Quantum Computing 
 Quantum Learning 
 Quantum Information 
 Randomized Algorithms 
 Randomness and Pseudo-Randomness 
 Streaming Algorithms 
 Structural Information Theory 
 Systems Theory"
ICTCS,7.0,,C,,15-May,,,,,Italian Conference on Theoretical Computer Science,"agents 
 algorithms 
 argumentation 
 automata theory 
 complexity theory 
 computational logic 
 computational social choice 
 concurrency theory 
 cryptography 
 discrete mathematics 
 distributed computing 
 dynamical systems 
 formal methods 
 game theory 
 graph theory 
 knowledge representation 
 languages 
 model checking 
 process algebras 
 quantum computing 
 rewriting systems 
 security and trust 
 semantics 
 specification and verification 
 systems biology 
 theorem proving 
 type theory"
SMC,27.0,B,B,B2,30-Apr,,,,,"International Conference on Systems, Man, and Cybernetics","Agent-Based Modeling 
 Application of Artificial Intelligence 
 Artificial Immune Systems 
 Artificial Life 
 Biometric Systems and Bioinformatics 
 Cloud 
 IoT 
 and Robotics Integration 
 Complex Network 
 Computational Intelligence 
 Computational Life Science 
 Cybernetics for Informatics 
 Deep Learning 
 Evolutionary Computation 
 Expert and Knowledge-Based Systems 
 Fuzzy Systems and their applications 
 Heuristic Algorithms 
 Hybrid Models of Neural Networks 
 Fuzzy Systems 
 and Evolutionary Computing 
 Image Processing and Pattern Recognition 
 Information Assurance and Intelligence 
 Intelligent Internet Systems 
 Knowledge Acquisition 
 Machine Learning 
 Machine Vision 
 Media Computing 
 Medical Informatics 
 Multimedia Computation 
 Neural Networks and their Applications 
 Optimization and Self-Organization Approaches 
 Quantum Cybernetics 
 Quantum Machine Learning 
 Representation Learning 
 Swarm Intelligence 
 Transfer Learning 
 Assistive Technology 
 Augmented Cognition 
 Brain-based Information Communications 
 Design Methods 
 Entertainment Engineering 
 Human Factors 
 Human Performance Modeling 
 Human-centered Learning 
 Human-Computer Interaction 
 Human-Machine Cooperation and Systems 
 Human-Machine Interface 
 Information Systems for Design 
 Information Visualization 
 Intelligence Interaction 
 Interactive and Digital Media 
 Interactive Design Science and Engineering 
 Kansei (sense/emotion) Engineering 
 Medical Informatics 
 Multimedia Systems 
 Multi-User Interaction 
 Resilience Engineering 
 Supervisory Control 
 Systems Safety and Security 
 Team Performance and Training Systems 
 User Interface Design 
 Virtual and Augmented Reality Systems 
 Wearable Computing 
 Communications 
 Conflict Resolution 
 Consumer and Industrial Applications 
 Control of Uncertain Systems 
 Cooperative Systems and Control 
 Decision Support Systems 
 Discrete Event Systems 
 Distributed Intelligent Systems 
 Electric Vehicles and Electric Vehicle Supply Equipment 
 Enterprise Information Systems 
 Fault Monitoring and Diagnosis 
 Homeland Security 
 Infrastructure Systems and Services 
 Intelligent Green Production Systems 
 Intelligent Power Grid 
 Intelligent Transportation Systems 
 Large-Scale System of Systems 
 Manufacturing Automation and Systems 
 Mechatronics 
 Micro and Nano Systems 
 Modeling of Autonomous Systems 
 Quality and Reliability Engineering 
 Robotic Systems 
 Service Systems and Organizations 
 Smart Buildings 
 Smart Cities and Infrastructures 
 Smart Metering 
 Smart Sensor Networks 
 Soft Robotics"
RSS,50.0,A*,A,A2,28-Jan,,,,,Robotics: Science and Systems,"mechanisms and design 
 robot learning 
 control and dynamics 
 planning 
 manipulation 
 field robotics 
 human-robot interaction 
 perception 
 formal methods 
 multi-robot systems 
 healthcare and medical robotics 
 bioinspired robots 
 mobile robotics"
STOC,62.0,A*,A,A1,4-Nov,,,,,ACM Symposium on Theory of Computing,"algorithms and data structures 
 computational complexity 
 randomness in computing 
 algorithmic graph theory and combinatorics 
 approximation algorithms 
 cryptography 
 computational learning theory 
 continuous and discrete optimization 
 economics and computation 
 parallel and distributed algorithms 
 quantum computing 
 algorithmic coding theory 
 computational geometry 
 computational applications of logic 
 algebraic computation 
 and computational and foundational aspects of areas such as machine learning 
 fairness 
 privacy 
 networks 
 data management 
 databases and computational biology"
CONCUR,16.0,A,A,A2,18-Apr,,,,,International Conference on Concurrency Theory,"abstract machines 
 domain-theoretic models 
 game-theoretic models 
 process algebras 
 graph transformation systems 
 Petri nets 
 hybrid systems 
 mobile and collaborative systems 
 probabilistic systems 
 real-time systems 
 biology-inspired systems 
 and synchronous systems; 
 modal logics 
 probabilistic and stochastic logics 
 temporal logics 
 and resource logics; 
 Verification and analysis techniques 
 concurrent systems such as abstract interpretation 
 atomicity checking 
 model checking 
 race detection 
 pre-order and equivalence checking 
 run-time verification 
 state-space exploration 
 static analysis 
 synthesis 
 testing 
 theorem proving 
 type systems 
 and security analysis; 
 Distributed algorithms 
 data structures 
 design 
 analysis 
 complexity 
 correctness 
 fault tolerance 
 reliability 
 availability 
 consistency 
 self-organization 
 self-stabilization 
 protocols; 
 architectures 
 execution environments 
 and software development for concurrent systems such as geo-replicated systems 
 communication networks 
 multiprocessor and multi-core architectures 
 shared and transactional memory 
 resource management and awareness 
 compilers and tools for concurrent programming 
 programming models such as component-based 
 object- and service-oriented."
SAGT,,B,B,,10-May,,,,,International Symposium on Algorithmic Game Theory,"Solution Concepts in Game Theory 
 Efficiency of Equilibria and Price of Anarchy 
 Complexity Classes in Game Theory 
 Computational Aspects of Equilibria and Fixed-Point Theorems 
 Repeated Games and Convergence of Dynamics 
 Algorithmic Mechanism Design 
 Reputation, Recommendation and Trust Systems 
 Network Games and Graph-Theoretic Aspects of Social Networks 
 Cost-Sharing Algorithms and Analysis 
 Computing with Incentives 
 Computational Social Choice 
 Fair Resource Allocation 
 Decision Theory, and Pricing 
 Auction Design and Analysis 
 Economic Aspects of Distributed Computing 
 Incentives in Blockchain 
 Internet Economics and Computational Advertising"
IWOCA,10.0,B,B,,6-Jan,,,,,International Workshop on Combinatorial Algorithms,"Algorithms and Data Structures 
 Algorithmic and Combinatorial Aspects of Cryptography and Information Security 
 Algorithmic Game Theory and Complexity of Games 
 Approximation Algorithms 
 Combinatorics and Graph Theory 
 Combinatorial Generation, Enumeration and Counting 
 Combinatorial Optimization 
 Combinatorics of Words 
 Complexity Theory 
 Computational Biology 
 Computational Geometry 
 Decompositions and Combinatorial Designs 
 Distributed, Parallel and Network Algorithms 
 Experimental Combinatorics 
 Fine-grained Complexity 
 Graph Algorithms and Modelling with Graphs 
 Graph Drawing and Graph Labelling 
 Network Theory and Temporal Graphs 
 Quantum Computing / Algorithms for Quantum Computers 
 Online Algorithms 
 Parameterized and Exact Algorithms 
 Probabilistic and Randomized Algorithms 
 Streaming Algorithms"
ISNCC,17.0,C,,,20-Mar,,,,,"International Symposium on Networks, Computers and Communications","6G Vision and Potential Key Technologies 
 Internet of Everything and Sensor Networks 
 Next Generation Networking and Internet 
 Trust, Security and Privacy 
 Artificial Intelligence and Machine Learning 
 Data Science and Big Data Systems Engineering 
 Cloud, Computing, Networking and Storage 
 Wireless and Mobile Networks 
 Green Communication Systems and Networks 
 Satellite Communications and Space Internet 
 Deep Space Exploration and Long-Distance Communication 
 Antenna Systems, Propagation and RF Design 
 Signal Processing and Communication System Theory"
CCECE,27.0,,C,,27-May,,,,,Canadian Conference on Electrical and Computer Engineering,"Research Methodologies 
 Joint Research and/or Degree Programs 
 Links between Education and Research 
 Acoustics in Education Environment 
 Courses, Tutorials and Labs 
 Curriculum Design for Diverse Community 
 Supervising and Managing Student Projects 
 Pedagogy Enhancement with e-Learning 
 Educating the Educators 
 Immersive Learning 
 Blended Learning 
 Computer-Aided Assessment 
 Metrics and Performance Measurement 
 Assessment Software Tools and Methods 
 Simulated Communities and Online Mentoring 
 e-Testing and new Test Theories 
 Accessibility to Disabled Users 
 Animation, 3D, and Web 3D Applications 
 Context Dependent Learning 
 Distance Education and E-Learning 
 Educational Games and Software 
 Mobile Applications and Learning (M-learning) 
 Technology Enhanced Learning 
 Videos for Learning and Educational Multimedia 
 Virtual Learning Environments (VLE) 
 Wireless Applications 
 Accreditation and Quality Assurance 
 Best Practice Contributions 
 Evaluation and Assessment Methods 
 Open Content 
 Security and Data Protection 
 Student Selection Criteria in Interdisciplinary Learning"
IWCMC,31.0,B,B,B1,1-Mar,,,,,International�Wireless�Communications &�Mobile�Computing�Conference,"Wireless Networking 
 Wireless Communications 
 Mobile Computing 
 Communication & Signal Processing 
 Internet of Things (IoT) 
 Internetworking Unmanned Ground and Aerial Systems (INUGAS) 
 Low Power Wide Area Networks Technologies for Internet of Things (LowPowerIoT) 
 Multimedia over Wireless 
 Next Generation Systems & Networks 
 Recent Advances in 5G IoT and Smart City Solutions 
 Satellite Communications & Networking 
 Smart Cities & Connected Communities 
 Trust, Privacy & Security 
 Vehicular Communications 
 Wireless Sensor Networks 
 Wireless Optical Networks (WON) 
 Crowd Management 
 5G 
 Enhanced Wireless Networks 
 Energy Efficient Networking for IoT 
 Intelligent Network Computing 
 Secure eHealth/mHealth Systems in the IoT Era 
 Quantum Communications 
 Quantum Cryptography and Secure Communication 
 Smart Grids & Microgrids"
ASONAM,34.0,,,B4,26-Jun,,,,,International Conference on Advances in Social Networks Analysis and Mining,"Data collection and quality 
 Big data and scalability 
 Deep learning and embeddings 
 Statistical learning 
 Algorithms and techniques 
 Visualization 
 Modeling and simulation 
 Explainable network analysis 
 Community detection 
 Link prediction 
 Information diffusion 
 Influence propagation 
 Anomaly detection 
 Network macro structures 
 Network evolution 
 Emergence 
 Privacy and security 
 Collective behavior 
 Crowd sourcing 
 Social Recommender Systems 
 Misinformation and Misbehavior Analysis and Detection 
 Reputation and Trust in Social Networks 
 Fairness Bias and Transparency in Social Media 
 Attributed networks 
 Online and offline social networks 
 Multirelational, multidimensional, multi-aspect, multilayer networks 
 Feature-rich networks 
 Time-evolving networks 
 Probabilistic networks 
 Semantic networks 
 Social geography and spatial networks 
 Social, cultural, and cyber anthropology 
 Policy impact and analysis 
 Networks in biology and ecology 
 Digital Humanities"
FCT,,B,A,B2,16-May,,,,,International Symposium on Fundamentals of Computation Theory,"Algorithms 
 algorithm design and optimization 
 data structures 
 combinatorics and analysis of algorithms 
 randomized algorithms 
 approximation algorithms 
 parameterized and exact algorithms 
 computational algebra and number theory 
 computational geometry 
 parallel algorithms 
 distributed algorithms and protocols 
 online algorithms 
 streaming algorithms 
 algorithmic game theory 
 computational foundations of machine learning 
 computational biology 
 Complexity 
 models of computation 
 computational complexity 
 decidability 
 Boolean/algebraic circuits and functions 
 randomized computation 
 derandomization 
 interactive proofs 
 computational foundations of cryptography 
 quantum computation 
 complexity theory 
 lower bounds 
 counting complexity 
 Formal methods 
 algebraic and categorical methods 
 automata and formal languages 
 database theory 
 foundations of concurrency and distributed systems 
 logic and model checking 
 models of reactive, hybrid, and stochastic systems 
 principles of programming languages 
 program analysis and transformation 
 security 
 specification, refinement, and verification 
 type systems 
 ad hoc, dynamic, and evolving systems 
 foundations of cloud computing and ubiquitous systems"
FOCS,52.0,A*,A,A1,4-Apr,,,,,Symposium on Foundations of Computer Science,"algorithms and data structures 
 computational complexitycryptography 
 computational learning theory 
 computational game theory 
 foundations of machine learning 
 parallel and distributed algorithms 
 quantum computing 
 computational geometry 
 computational applications of logic 
 algorithmic graph theory and combinatorics 
 optimization 
 randomness in computing 
 approximation algorithms 
 algorithmic coding theory 
 algebraic computation 
 and theoretical aspects of areas such as networks 
 privacy 
 information retrieval 
 computational biology 
 databases"
WADS,13.0,B,A,B1,20-Feb,,,,,Algorithms and Data Structures Symposium,"combinatorics 
 computational geometry 
 databases 
 graphics 
 parallel and distributed computing"
SWAT,,B,B,B1,14-Feb,,,,,Scandinavian Symposium and Workshops on Algorithm Theory,"approximation algorithms 
 parametrized algorithms 
 distributed algorithms 
 parallel algorithms 
 external-memory algorithms 
 data structures 
 exponential time algorithms 
 online algorithms 
 randomized algorithms 
 streaming algorithms 
 sub-linear algorithms 
 optimization 
 geometry and topology 
 graph analysis 
 bioinformatics 
 visualization 
 string processing 
 information retrieval 
 machine learning 
 algorithmic game theory 
 mechanism design"
SIGCOMM,60.0,A*,A,A1,2-Feb,,,,,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication","computer networks 
 mobile 
 wide-area 
 data-center 
 embedded 
 home 
 enterprise networks 
 wired and wireless technologies 
 including optics 
 radio 
 acoustic and visible light-based communication 
 networks and networked systems 
 architecture 
 packet-processing hardware and software 
 virtualization 
 mobility 
 resource management 
 performance 
 energy consumption 
 topology 
 robustness 
 security 
 diagnosis 
 verification 
 privacy 
 economics 
 evolution 
 interactions with applications 
 computer network design, analysis, and experimental approaches 
 theory 
 measurements 
 machine learning-based techniques"
IPCO,17.0,A,B,B1,6-Nov,,,,,Conference on Integer Programming and Combinatorial Optimization,"integer programming 
 combinatorial optimization 
 novel applications of discrete optimization to practical problems"
ITCS,33.0,A,,,2-Sep,,,,,Conference on Innovations in Theoretical Computer Science,"theory 
 theoretical computer science 
 new concept 
 model or understanding 
 opening a new line of inquiry within traditional or interdisciplinary areas 
 introducing new mathematical techniques and methodologies 
 new applications of known techniques"
PDPTA,6.0,B,B,B2,9-Jul,,,,,International Conference on Parallel and Distributed Processing Techniques and Applications,"Big Data and High-Performance Computing: Novel computational methodologies, HPC and scalable algorithms for enhancing data quality, models and frameworks for Big Data, graph algorithms, computational science, computational intelligence, Scalable systems and architectures for Big Data 
 Parallel/Distributed Applications: Numerical computations/methods, neural networks and fuzzy logic, medicine, remote sensing, computer vision, computer graphics and virtual reality, parallel/distributed databases, banking, financial markets, high-performance computational biology 
 Parallel/Distributed Architectures: Clusters and parallel systems of various topologies, supercomputers, shared memory, distributed memory, general- and special-purpose architectures, instructional level parallelism 
 Networks and Interconnection Networks: Scalable networks, reconfigurable networks, routing issues, general-purpose network performance for distributed applications, network protocols, internet technology, optical interconnections and computing, novel network topologies 
 Energy/power-aware Computing: Energy-aware resource management, green computing, energy efficiency planning, energy-aware technologies, low power virtualization and software techniques, low power logic/circuit/process technology design, methods and tools for forecasting, estimating, and validating power use 
 Reliability and Fault-tolerance: Software and hardware fault-tolerance (system- and application-level), fault diagnosis, fault-tolerance measurement 
 Building Block Processors: Applications of processors that can be used as basic building blocks for multicomputer systems 
 Real-time and Embedded Systems: Small-scale parallel systems for high-performance control, data acquisition, and analysis; configuration, routing, scheduling, performance guarantees 
 Parallel/Distributed Algorithms: Algorithms exploiting clusters and general-purpose distributed and parallel systems, new vector/pipeline issues, shared memory, distributed memory, virtual memory 
 Multimedia Communications, Systems, and Applications: High-speed networking, multimedia architectures and protocols, multimedia applications, quality of service support, operating system and networking support, internet tools and applications, audio/video delivery over the internet 
 Software Tools and Environments for Parallel and Distributed Platforms: Operating systems, compilers, languages, debuggers, monitoring tools, software engineering on parallel/distributed systems 
 High-performance Computing in Computational Science: Intra-disciplinary and multi-disciplinary research programs and applications 
 Performance Evaluation and Management of Wireless Networks and Distributed Systems 
 FPGA-based Design 
 Performance Analysis, Evaluation, Prediction 
 Nanotechnology in HPC 
 High-performance Mobile Computation and Communication 
 Object Oriented Technology and Related Issues 
 Scheduling and Resource Management 
 Petri Nets: Theory, Analysis, Tools and Applications 
 Web-based Simulation and Computing 
 Cloud Computing 
 Complex Systems, Theory and Applications 
 Other Aspects and Applications relating to High-Performance Computations 
 Emerging Technologies"
CONTROLO,,,,,8-Mar,,,,,International Conference on Automatic Control and Soft Computing,"Control Systems 
 Adaptive Control 
 Aeronautics and Aerospace control 
 Control Education 
 Control technology, sensors and actuators 
 Control Theory, Architectures and Applications 
 Discrete-event systems 
 Distributed Control 
 Fault Detection, Diagnosis and Fault Tolerant Control 
 Fractional Signals, Systems and Control 
 Fuzzy and Neuro-Fuzzy Systems and Control 
 Human in the Control-Loop 
 Hybrid Systems 
 Intelligent and AI Based Control 
 Linear and Nonlinear Control 
 Modelling, Simulation, Estimation and Identification 
 Networked Control Systems 
 Optimal, Robust and Stochastic Control 
 Optimization approaches 
 Remote and Virtual Laboratories 
 Automation & Robotics 
 Automated Guided Vehicles 
 Autonomous Agents 
 Cyber Physical Systems 
 Embedded Systems 
 Factory Modelling and Automation 
 Grafcet and Petri-Nets 
 Human-Agent Interaction 
 Human-Machine Interaction and Industry 5.0 
 Industrial Automation 
 Industrial Networks 
 Instrumentation 
 Internet of Things and Industry 4.0 
 Manufacturing systems 
 Mechatronics Systems 
 Mobile Robots 
 Modelling of Complex Systems 
 Perception and Awareness 
 Process Automation 
 Real-Time Systems 
 Robotics 
 Vision, Recognition and Reconstruction 
 Soft-Computing with application to Control, Automation or Robotics 
 Adaptive and Dynamic Programming 
 Artificial Intelligence and Pattern Recognition 
 Cloud, Fog and Big Data 
 Cognitive Artificial Systems 
 Computational Intelligence 
 Data Mining and Information Retrieval 
 Data Reduction and Interpretation 
 Evolution of AI Systems 
 Independent and Cognitive Computing 
 Intelligent Agents and Context Awareness 
 Knowledge Acquisition and Representation 
 Machine Learning 
 Perception Intelligent Decision Systems 
 Reinforcement and Deep-Learning"
SSS,,C,C,,5-Aug,,,,,"International Symposium on Stabilization, Safety, and Security of Distributed Systems","Self-stabilizing systems 
 Self-stabilizing protocols and algorithms 
 Practically-stabilizing systems 
 Variants of self-stabilization 
 Topological stabilization 
 Autonomic Computing 
 Stabilization and self-* properties in hardware, software, and middleware design 
 Self-stabilizing software defined infrastructure 
 Distributed, concurrent, and fault-tolerant algorithms 
 Synchronization protocols 
 Shared and transactional memory 
 Graph-theoretic concepts for communication networks 
 Formal methods, validation, verification, and synthesis 
 Social networks 
 Game-theory and economical aspects of distributed computing 
 Randomization in distributed computing 
 High-performance, cluster, cloud and grid computing 
 Network security and privacy 
 Blockchain technologies and cryptocurrencies 
 Applied cryptography 
 Self-organization in mobile agents 
 Mobile robots 
 Mobile sensor networks 
 Mobile ad-hoc networks 
 Population protocols 
 Dynamic networks, time-varying graphs, evolving graphs 
 Nature-inspired computing 
 Programmable particles, nanoscale robots, biological systems, and related new models"
NEURIPS,278.0,A*,,,16-May,,,,,Conference on Neural Information Processing Systems,"General Machine Learning 
 Deep Learning (e.g., architectures, generative models, optimization for deep networks) 
 Reinforcement Learning (e.g., decision and control, planning, hierarchical RL, robotics) 
 Applications (e.g., speech processing, computer vision, NLP) 
 Machine Learning for Sciences (e.g. biology, physics, health sciences, social sciences) 
 Probabilistic Methods (e.g., variational inference, causal inference, Gaussian processes) 
 Optimization (e.g., convex and non-convex optimization) 
 Neuroscience and Cognitive Science (e.g., neural coding, brain-computer interfaces) 
 Theory (e.g., control theory, learning theory, algorithmic game theory) 
 Infrastructure (e.g., datasets, competitions, implementations, libraries) 
 Social Aspects of Machine Learning (e.g., AI safety, fairness, privacy, interpretability, human-AI interaction, ethics)"
RTSS,23.0,A*,A,A1,26-May,,,,,IEEE Real-Time Systems Symposium,"Cyber-Physical Systems 
 foundations of CPS 
 design methods 
 simulation/emulation for CPS 
 tool chains 
 CPS architectures 
 security and privacy 
 hardware/software compositions that include physical components 
 performance analysis 
 robustness and safety 
 analysis techniques and tools especially those with multiple temporal and spatial scales 
 HW-SW Integration and System-Level Design 
 architecture description languages and tools 
 hardware architectures 
 design space exploration 
 synthesis and optimization 
 SoC design for real-time applications 
 special-purpose functional units 
 specialized memory structures 
 multi-core chips and communication aspects 
 FPGA simulation and prototyping 
 software simulation and compilation for novel architectures and applications 
 power, thermal, timing and predictability analyses 
 Internet of Things (IoT)"
SODA,57.0,A*,A,A1,10-Jul,,,,,Symposium on Discrete Algorithms,"Combinatorial structures 
 Discrete optimization 
 Graph theory 
 Random structures 
 Algorithm analysis 
 Data structures 
 Experimental algorithmics 
 Lower bounds 
 Mathematical programming 
 Algorithmic fairness 
 Combinatorial scientific computing 
 Communication networks and the internet 
 Computational geometry and topology 
 Computer systems 
 Cryptography, security and privacy 
 Databases and information retrieval 
 Distributed and parallel computing 
 Game theory and mechanism design 
 Machine learning 
 Quantum computing 
 Scheduling and resource allocation"
SoCG,22.0,A*,,A2,2-Dec,,,,,International Symposium on Computational Geometry,"Design, analysis, and implementation of geometric algorithms and data structures 
 Lower bounds on the computational complexity of geometric problems 
 Mathematical, numerical, and algebraic issues arising in the formulation, analysis, implementation, and experimental evaluation of geometric algorithms and heuristics 
 Discrete and combinatorial geometry 
 Computational topology, topological data analysis, and topological combinatorics 
 Applications of computational geometry in any field."
CCCG,8.0,B,C,B2,6-Mar,,,,,The Canadian Conference on Computational Geometry,"design of efficient algorithms 
 software 
 mathematical foundations of computational problems 
 geometric constraints 
 computational geometry 
 computer graphics and animation 
 computer vision 
 computer-aided design and manufacturing 
 geographic information systems 
 pattern recognition 
 wireless communications 
 robotics 
 protein folding 
 urban planning 
 graph drawing 
 or statistical analysis 
 discrete geometry"
ICEBE,14.0,B,B,B2,10-Sep,,,,,International Conference on e-Business Engineering,"Agent for e-Business Track 
 Agent-mediated e-commerce systems 
 Agent-based artificial markets 
 Trading, negotiation, auction and mechanism design 
 Collective decision making and coordination for e-Business 
 Trust and reputation in online agent systems 
 Personal agents and recommender systems 
 Agent based web mining, text mining and information retrieval 
 Agent or actor oriented analysis in social networks 
 Big Data for e-Business Track 
 Data and knowledge engineering for e-business 
 Workflow and business process tools and management for e-business 
 Semantic Web, Web 2.0, and business intelligence 
 Stream processing, complex event processing and continuous queries 
 E-business marketing, data mining, and relationship management 
 Machine learning, cybernetics, and agents for e-business services management 
 Knowledge management and e-learning 
 Big data and super computing 
 Big data analytics for e-business 
 Super computing and simulation of e-businesses 
 Applications of super computing 
 Internet of Things (IoT) Track 
 Legal perspectives in IoT-based business service 
 IoS (Internet of Services) plus IoT 
 New business models and value map 
 Auto-organization on context, exchange or supply chain 
 Architectures and platforms of IoT applications 
 Machine learning and Evolutionary Computing for IoT applications 
 Edging/Cloud Computing for Smart IoT 
 Smart manufacturing and Industrial IoT 
 Smart cities and internet of vehicles 
 Control and decision making for smart IoT 
 Security and privacy for smart IoT 
 Mobile and Autonomous Computing Track 
 Mobile and pervasive methods, applications and integrated solutions 
 Sensor systems and RFID applications 
 Ubiquitous content access 
 Context awareness and smart environments 
 Resource discovery of mobile services 
 3G technology and services for e-business 
 Social networks and social behavior modeling in mobile commerce 
 Security, Privacy, and Blockchain Track 
 Security, privacy and trust methods and solutions for enabling e-business 
 Open source technologies and components for e-business 
 Open source version management 
 Authentication in e-business 
 Blockchain security models 
 Blockchain architectures for efficient processing 
 Service-Oriented and Cloud Track 
 Service process modeling 
 Service quality assurance 
 Service design methodology 
 Service optimization 
 Service composition 
 Service QoS optimization 
 Service security 
 Service requirement collection, specification, and analysis 
 Data- and computation-intensive services 
 Business intelligence and analytics for services 
 XaaS (X as a service including Iaas, PaaS, SaaS) 
 Infrastructure as a Service, Platform as a Service, Application as a Service 
 Extreme scalability, high availability, elasticity, and reliability in a cloud 
 Multi-tenancy, security and privacy in clouds 
 Programming models and transaction models for the cloud 
 Cloud business support services and operational support 
 Software Engineering for e-Business Track 
 Design methods, tools and science for e-business 
 Models, platforms and applications for e-business 
 Components, services and solutions for e-business 
 Aspects of green business and green commerce 
 Cloud and mobile software engineering 
 Service-oriented software engineering 
 Ecommerce Trading Technologies Track 
 Online credit and reputation evaluation 
 Electronic contract 
 Electronic invoice 
 Internet Finance/Manufacturing/Farm 
 Ecommerce services and infrastructure 
 Monitoring and supporting services for Ecommerce 
 Ecommerce laws and standards 
 Applications of blockchain 
 Industry Track: Deliver the Intelligent Enterprise 
 Analytics with Big Data 
 Industry 4.0 and Smart Manufacturing 
 Internet of Things 
 Enterprise usage with Machine Learning 
 Trusted and traceable network with Blockchain"
MOBISYS,39.0,B,B,A1,9-Dec,,,,,"International Conference on Mobile Systems, Applications, and Services","Experience with mobile applications, networks, and systems 
 Applications of mobile sensing and crowdsourcing 
 Tools for building and measuring mobile systems 
 Innovative wearable systems and applications 
 Software architectures for mobile devices and mobile computing 
 Data management for mobile applications 
 Infrastructure support for mobile computing 
 System-level energy management for mobile devices 
 Operating systems for mobile devices 
 Support for mobile social networking and the mobile web 
 Security and privacy in mobile systems 
 Resource-efficient machine learning and AI for mobile devices 
 Systems for location and context sensing and awareness 
 Mobile computing support for pervasive computing 
 Vehicular and mobile robotic systems 
 Systems and networking support for virtual or augmented reality 
 Applications of mobile systems in healthcare and accessibility 
 Applications in sustainability and smart cities 
 IoT systems and applications with their implications for mobile computing 
 Novel mobile applications using machine learning 
 Techniques and systems for novel human-mobile interactions and experiences 
 Nano satellites and mobile computing in outer space 
 Non-traditional topics that bring new perspectives to mobile computing"
ANTS,,B,,B4,30-Apr,,,,,International Conference on Swarm Intelligence,"Behavioral models of social insects or other animal societies that can stimulate new algorithmic approaches. 
 Empirical and theoretical research in swarm intelligence. 
 Application of swarm intelligence methods, such as ant colony optimization or particle swarm optimization, to real-world problems. 
 Theoretical and experimental research in swarm robotics systems."
ICC,75.0,B,B,A2,1-Nov,,,,,International Conference on Communications,"IoT & Sensor Networks 
 Cognitive Radio & AI-Enabled Networks 
 Communication & Information System Security 
 Communication QoS, Reliability, & Modeling 
 Communication Software & Multimedia 
 Communication Theory 
 Green Communication Systems & Networks 
 Mobile & Wireless Networks 
 Next-Generation Networking & Internet 
 Optical Networks & Systems 
 Signal Processing for Communications 
 Wireless Communications 
 Selected Areas in Communications 
 Big Data 
 Cloud Computing, Networking and Storage 
 e-Health 
 Molecular, Biological and Multi-Scale Communications 
 Satellite & Space Communications 
 Smart Grid Communications 
 Social Networks 
 Machine Learning for Communications 
 Backhaul/Fronthaul Networking and Communications 
 Aerial Communications 
 Quantum Communications & Computing 
 Full-Duplex Communications"
